"WBIC","Year","Lake","age0cpe.mile","id"
"2902900",2010,"EAGLE LAKE",0,"2902900 2010"
"1600200",2013,"EAGLE LAKE",0.444444444444444,"1600200 2013"
"2301800",2012,"ECHO LAKE",0,"2301800 2012"
"2301800",2013,"ECHO LAKE",0,"2301800 2013"
"2240000",2005,"ELK LAKE",53.0769230769231,"2240000 2005"
"59300",2005,"ELKHART LAKE",0,"59300 2005"
"59300",2011,"ELKHART LAKE",0,"59300 2011"
"651600",2011,"EMILY LAKE",2.69230769230769,"651600 2011"
"68100",2006,"ENGLISH LAKE",0,"68100 2006"
"2914800",2006,"ENGLISH LAKE",0,"2914800 2006"
"2914800",2008,"ENGLISH LAKE",0,"2914800 2008"
"2914800",2010,"ENGLISH LAKE",0.24390243902439,"2914800 2010"
"1579700",2005,"ENTERPRISE LAKE",26.6666666666667,"1579700 2005"
"2328900",2004,"FAWN LAKE",8.4,"2328900 2004"
"1571100",2011,"FIFTH LAKE",0,"1571100 2011"
"2464500",2011,"FISH LAKE",0,"2464500 2011"
"2343200",2009,"FISHTRAP LAKE",0.952380952380952,"2343200 2009"
"1593800",2004,"FOUND LAKE",0,"1593800 2004"
"1593800",2005,"FOUND LAKE",1.21951219512195,"1593800 2005"
"1593800",2006,"FOUND LAKE",0,"1593800 2006"
"1593800",2010,"FOUND LAKE",0,"1593800 2010"
"1572000",2007,"FOURTH LAKE",6.19047619047619,"1572000 2007"
"1572000",2011,"FOURTH LAKE",0,"1572000 2011"
"849400",2011,"FOWLER LAKE",0,"849400 2011"
"692900",2004,"FRANKLIN LAKE",12.8787878787879,"692900 2004"
"692900",2011,"FRANKLIN LAKE",6.14285714285714,"692900 2011"
"853200",2004,"FRIESS LAKE",0,"853200 2004"
"1569600",2010,"GEORGE LAKE",17.3333333333333,"1569600 2010"
"735100",2012,"GEORGE LAKE",0,"735100 2012"
"2695800",2005,"GILMORE LAKE",0.175438596491228,"2695800 2005"
"2695800",2013,"GILMORE LAKE",0.377358490566038,"2695800 2013"
"775900",2004,"GOLDEN LAKE",0,"775900 2004"
"2406500",2011,"GORDON LAKE",1.66666666666667,"2406500 2011"
"2314100",2009,"GRAND PORTAGE LAKE",0,"2314100 2009"
"2100800",2011,"GRANITE LAKE",24.7058823529412,"2100800 2011"
"2238100",2013,"GRASSY LAKE",1.05263157894737,"2238100 2013"
"2391200",2004,"GRINDSTONE LAKE",79.4791666666667,"2391200 2004"
"2391200",2006,"GRINDSTONE LAKE",180.280373831776,"2391200 2006"
"2391200",2007,"GRINDSTONE LAKE",91.8095238095238,"2391200 2007"
"2391200",2008,"GRINDSTONE LAKE",50.4761904761905,"2391200 2008"
"2391200",2009,"GRINDSTONE LAKE",40.5714285714286,"2391200 2009"
"2391200",2010,"GRINDSTONE LAKE",63.2380952380952,"2391200 2010"
"2391200",2011,"GRINDSTONE LAKE",68.9523809523809,"2391200 2011"
"2391200",2012,"GRINDSTONE LAKE",44.5714285714286,"2391200 2012"
"2391200",2013,"GRINDSTONE LAKE",23.1428571428571,"2391200 2013"
"1539700",2007,"GUNLOCK LAKE",0.444444444444444,"1539700 2007"
"2621100",2008,"HALF MOON LAKE",0,"2621100 2008"
"2621100",2009,"HALF MOON LAKE",0.140845070422535,"2621100 2009"
"2621100",2010,"HALF MOON LAKE",0,"2621100 2010"
"2621100",2012,"HALF MOON LAKE",0,"2621100 2012"
"2621100",2013,"HALF MOON LAKE",0,"2621100 2013"
"679300",2004,"HALSEY LAKE",0,"679300 2004"
"2903200",2010,"HART LAKE",14,"2903200 2010"
"1567325",2007,"HAT RAPIDS FLOWAGE",2.93333333333333,"1567325 2007"
"2725500",2006,"HAYWARD LAKE",0,"2725500 2006"
"2725500",2007,"HAYWARD LAKE",0,"2725500 2007"
"2109800",2005,"HEMLOCK LAKE",0.434782608695652,"2109800 2005"
"105200",2006,"HILLS LAKE",0,"105200 2006"
"2469800",2011,"HORSESHOE LAKE",0.8,"2469800 2011"
"1598900",2004,"INDIAN LAKE",12.7450980392157,"1598900 2004"
"1598900",2007,"INDIAN LAKE",2.15686274509804,"1598900 2007"
"1598900",2011,"INDIAN LAKE",0.392156862745098,"1598900 2011"
"2381800",2004,"ISLAND LAKE",8,"2381800 2004"
"2381800",2005,"ISLAND LAKE",16,"2381800 2005"
"1610500",2006,"ISLAND LAKE",29.375,"1610500 2006"
"2381800",2006,"ISLAND LAKE",1.5,"2381800 2006"
"2470600",2006,"ISLAND LAKE",0.714285714285714,"2470600 2006"
"2945500",2007,"ISLAND LAKE",34.2105263157895,"2945500 2007"
"2381800",2011,"ISLAND LAKE",0.666666666666667,"2381800 2011"
"2945500",2013,"ISLAND LAKE",3.33333333333333,"2945500 2013"
"2734200",2006,"JACKSON LAKE",0.357142857142857,"2734200 2006"
"377900",2005,"JUNGLE LAKE",16.6666666666667,"377900 2005"
